sample	fastalake_peptides	metag_peptides	shared_peptides	fastalake_only	metag_only	peptide_ratio	jaccard	fastalake_database	metag_database
20191024_QX7_PeTr_LC02_SA_MicrobPred_10_191025211701	23220	4028	3468	19752	560	5.7646474677259185	0.1458368376787216	5271	239038
20191024_QX7_PeTr_LC02_SA_MicrobPred_11	12777	6652	5695	7082	957	1.9207757065544198	0.4146643366826853	2860	87134
20191024_QX7_PeTr_LC02_SA_MicrobPred_12	35787	30126	25420	10367	4706	1.1879107747460664	0.6277628232040106	10407	237093
20191024_QX7_PeTr_LC02_SA_MicrobPred_13	18719	12857	10854	7865	2003	1.455938399315548	0.5237911398513657	9294	357043
20191024_QX7_PeTr_LC02_SA_MicrobPred_14	38530	33460	28218	10312	5242	1.1515242080095636	0.6446586859179384	12626	437407
20191024_QX7_PeTr_LC02_SA_MicrobPred_15	40101	35582	30392	9709	5190	1.1270024169523916	0.6710383961493454	11413	279421
20191024_QX7_PeTr_LC02_SA_MicrobPred_16	40889	35936	30548	10341	5388	1.1378283615316118	0.6601119346543639	11983	341218
20191024_QX7_PeTr_LC02_SA_MicrobPred_17	31669	25416	21741	9928	3675	1.246026125275417	0.6151256224535989	9058	194078
20191024_QX7_PeTr_LC02_SA_MicrobPred_18	27654	21463	18414	9240	3049	1.2884498905092485	0.5997459531641859	8485	160892
20191024_QX7_PeTr_LC02_SA_MicrobPred_19	2544	243	194	2350	49	10.469135802469136	0.07481681450057848	653	170148
