cohort	sample	mode	database_sequences	target_psms_spectrum_q01	canonical_peptides_peptide_q01	member_sets_protein_q01	representative_keys_protein_q01	referenced_accessions_protein_q01	quantified_canonical_peptides	quantified_features	summed_lfq_intensity	extraction_peptides	sample_lake_sequences	inference_mapped_peptides
HSTOOL	20181231_QX7_PhGe_LC95_SA_TechnicalReplicates_1_190104120800	fastalake	11172	58661	31669	17242	9124	10937	30855	33004	11605954696147.14	24307	5803867	33609
HSTOOL	20181231_QX7_PhGe_LC95_SA_TechnicalReplicates_2_190104150314	fastalake	11075	58443	31788	17201	9102	10881	30844	33027	10099656077418.676	24213	5791287	33290
HSTOOL	20181231_QX7_PhGe_LC95_SA_TechnicalReplicates_3_190104175825	fastalake	11016	58064	31537	16981	9042	10808	31000	33196	14551077537101.617	24259	5796931	33289
HSTOOL	20181231_QX7_PhGe_LC95_SA_TechnicalReplicates_4_190104205346	fastalake	11087	58167	31506	17043	9098	10874	30610	32787	9856723063226.334	24139	5733100	33337
HSTOOL	20181231_QX7_PhGe_LC95_SA_TechnicalReplicates_5_190104234917	fastalake	10868	57593	31271	16799	8906	10654	30439	32619	10626269672639.047	24060	5929975	32673
HSTOOL	20181231_QX7_PhGe_LC95_SA_TechnicalReplicates_6	fastalake	11050	57646	31322	17026	9034	10823	30518	32777	11084966505239.818	24179	5689751	33193
HSTOOL	20181231_QX7_PhGe_LC95_SA_TechnicalReplicates_7	fastalake	11029	57936	31549	17104	9073	10805	30745	32976	11135496403697.172	24239	5844261	33154
HSTOOL	20181231_QX7_PhGe_LC95_SA_TechnicalReplicates_8	fastalake	11014	57591	30970	17025	9001	10789	30286	32482	13110071706413.314	23841	5796838	33030
HSTOOL	20181231_QX7_PhGe_LC95_SA_TechnicalReplicates_9	fastalake	10794	56754	30570	16705	8837	10566	30147	32363	16515972748490.438	23931	5905566	32307
HSTOOL	20181231_QX7_PhGe_LC95_SA_TechnicalReplicates_10	fastalake	10890	57932	30949	16888	8858	10653	30463	32728	16864979585214.48	23805	5732101	32774
PREDICT	20191024_QX7_PeTr_LC02_SA_MicrobPred_10_191025211701	fastalake	5271	47056	23220	7337	4699	5101	22776	24360	19430390066560.125	18976	3965246	25362
PREDICT	20191024_QX7_PeTr_LC02_SA_MicrobPred_10_191025211701	matched_metag	239038	6922	4028	2706	2290	4302	3937	4152	1788376805061.2031			
PREDICT	20191024_QX7_PeTr_LC02_SA_MicrobPred_11	fastalake	2860	30279	12777	3733	2559	2719	12487	13218	11249184728251.898	16923	1732759	15864
PREDICT	20191024_QX7_PeTr_LC02_SA_MicrobPred_11	matched_metag	87134	11067	6652	2793	2243	3296	6493	6763	1845158290053.8083			
PREDICT	20191024_QX7_PeTr_LC02_SA_MicrobPred_12	fastalake	10407	65268	35787	16128	8813	10225	34883	36534	8950153428213.29	23212	7030394	37581
PREDICT	20191024_QX7_PeTr_LC02_SA_MicrobPred_12	matched_metag	237093	51241	30126	14280	10202	16906	29329	30539	5975925870567.836			
PREDICT	20191024_QX7_PeTr_LC02_SA_MicrobPred_13	fastalake	9294	35565	18719	11104	6857	8790	18145	19762	7158840345394.604	21122	6395282	31031
PREDICT	20191024_QX7_PeTr_LC02_SA_MicrobPred_13	matched_metag	357043	21848	12857	8642	6843	15898	12463	13528	3646278257342.774			
PREDICT	20191024_QX7_PeTr_LC02_SA_MicrobPred_14	fastalake	12626	72782	38530	20343	10422	12465	37590	41712	12961735901647.217	22558	8089838	37271
PREDICT	20191024_QX7_PeTr_LC02_SA_MicrobPred_14	matched_metag	437407	59682	33460	19546	13565	31609	32645	36039	9010842334815.46			
PREDICT	20191024_QX7_PeTr_LC02_SA_MicrobPred_15	fastalake	11413	71886	40101	18434	9616	11231	39439	40240	13552707415226.28	24042	8122843	40210
PREDICT	20191024_QX7_PeTr_LC02_SA_MicrobPred_15	matched_metag	279421	60870	35582	16447	11641	21367	34997	35659	10600883683501.916			
PREDICT	20191024_QX7_PeTr_LC02_SA_MicrobPred_16	fastalake	11983	72768	40889	18393	10083	11803	39828	40139	10772985789604.305	24968	7593635	42096
PREDICT	20191024_QX7_PeTr_LC02_SA_MicrobPred_16	matched_metag	341218	61041	35936	16319	12100	22678	35034	35284	7929810978832.193			
PREDICT	20191024_QX7_PeTr_LC02_SA_MicrobPred_17	fastalake	9058	59670	31669	14331	7456	8846	30623	32590	5956678028041.935	21975	6850031	33906
PREDICT	20191024_QX7_PeTr_LC02_SA_MicrobPred_17	matched_metag	194078	45172	25416	11689	8175	14496	24589	26097	3896358615284.399			
PREDICT	20191024_QX7_PeTr_LC02_SA_MicrobPred_18	fastalake	8485	52328	27654	12656	6946	8273	26823	28897	7234230134711.903	21158	6627274	32342
PREDICT	20191024_QX7_PeTr_LC02_SA_MicrobPred_18	matched_metag	160892	37914	21463	10164	7118	12288	20817	22380	4488033918097.677			
PREDICT	20191024_QX7_PeTr_LC02_SA_MicrobPred_19	fastalake	653	13083	2544	667	562	585	2464	2568	13378844486966.244	7078	345843	3684
PREDICT	20191024_QX7_PeTr_LC02_SA_MicrobPred_19	matched_metag	170148	387	243	186	166	423	236	239	119683007019.19771			
