sample	sample_group	study_group	n_peptides	n_features	intensity
S01	CAMPI_014679dc7f7f80307a09fcc34b56a0f2e0df6c7e065a69f2b402089d8db827dc	CAMPI_014679dc7f7f80307a09fcc34b56a0f2e0df6c7e065a69f2b402089d8db827dc	4	4	169633104.35268077
S01	CAMPI_022cc77c229c9a804992ab8ce34d68e78379b41c81f7fdca2dccaa11abe63d11	CAMPI_022cc77c229c9a804992ab8ce34d68e78379b41c81f7fdca2dccaa11abe63d11	2	2	311571967.93451464
S01	CAMPI_02f124c9a235ee8ad3774cb726d46b847768831579ef686d777a257c2bf93619	CAMPI_02f124c9a235ee8ad3774cb726d46b847768831579ef686d777a257c2bf93619	1	1	38317019.687860325
S01	CAMPI_05cd4d1acba0d5d9ba1d047cfe5b9f7331c35c487633dda34520abbea0bd331c	CAMPI_05cd4d1acba0d5d9ba1d047cfe5b9f7331c35c487633dda34520abbea0bd331c	6	6	1335590095.8551269
S01	CAMPI_06cfcc71bc10f9dac4eb1ccb5f5246d9b767ffeb0e5444061bef9af3f502d41a	CAMPI_06cfcc71bc10f9dac4eb1ccb5f5246d9b767ffeb0e5444061bef9af3f502d41a	2	2	110347010.15519547
S01	CAMPI_07cd1d25495654f936928b9f7fcbcc4ce6717ecf6828b682f43a38b5f62b9913	CAMPI_07cd1d25495654f936928b9f7fcbcc4ce6717ecf6828b682f43a38b5f62b9913	1	1	6619446.712278782
S01	CAMPI_0830a1c300e272bcf7470e5222c33c5e18ad093fdff69a172c3dff652f73f245	CAMPI_0830a1c300e272bcf7470e5222c33c5e18ad093fdff69a172c3dff652f73f245	1	1	70098816.22989023
S01	CAMPI_089ce6e7e0d18703cfe464af08919b253be9c0ce447f1a1b7acfe77c9a5ca4dc	CAMPI_089ce6e7e0d18703cfe464af08919b253be9c0ce447f1a1b7acfe77c9a5ca4dc	2	2	19219170.459961586
S01	CAMPI_0b1bef67c1d4c5d92896b85564e4a09c6a9192d7dc67b5455a28288b012f9b98	CAMPI_0b1bef67c1d4c5d92896b85564e4a09c6a9192d7dc67b5455a28288b012f9b98	1	1	10089905.582933735
S01	CAMPI_0b4aeb7d27f17441a2831411b24de008f566e1ab217aaf5e76283bb1a540873e	CAMPI_0b4aeb7d27f17441a2831411b24de008f566e1ab217aaf5e76283bb1a540873e	2	2	106876734.89184713
S01	CAMPI_0e7e2b68d08f4392f29375dc1346ed88478aa759b114ad5b163d6e694b6baeda	CAMPI_0e7e2b68d08f4392f29375dc1346ed88478aa759b114ad5b163d6e694b6baeda	1	1	5670725.1489470815
S01	CAMPI_0ea3213335ad04833460097e3aa00b47636e18e355742695d309c3728474eed0	CAMPI_0ea3213335ad04833460097e3aa00b47636e18e355742695d309c3728474eed0	1	1	283301023.5848161
S01	CAMPI_0fd55ac9d9b1c68c11586a42b2796981d23b4c389bf62b6dee651bbd3acf3389	CAMPI_0fd55ac9d9b1c68c11586a42b2796981d23b4c389bf62b6dee651bbd3acf3389	1	1	42808833.49709582
S01	CAMPI_10780e38f24b6f08c4945d3929ba1227654a4c9629ad5e8ca8dcd7a01b55570d	CAMPI_10780e38f24b6f08c4945d3929ba1227654a4c9629ad5e8ca8dcd7a01b55570d	1	1	45634639.05568586
S01	CAMPI_12bf9dfe3280bf4840a5676db9a2f3e4864b54896b9c22fc83c3aa77fe4ee482	CAMPI_12bf9dfe3280bf4840a5676db9a2f3e4864b54896b9c22fc83c3aa77fe4ee482	1	1	10153637.717077708
S01	CAMPI_12ef7970b8b7a36c8c78be6e05f8e74ebf497bd66448eab323afef8276e4e3fe	CAMPI_12ef7970b8b7a36c8c78be6e05f8e74ebf497bd66448eab323afef8276e4e3fe	1	1	18500078.433876216
S01	CAMPI_15653d00890569e857914c704a40c2ca9e8af9dede3a045b005f8a096d2f294d	CAMPI_15653d00890569e857914c704a40c2ca9e8af9dede3a045b005f8a096d2f294d	2	2	40249555.286398046
S01	CAMPI_16e6c31f167d891e44c4d0f3a118dab6f6962cfc691a983826c7b10e32f75af2	CAMPI_16e6c31f167d891e44c4d0f3a118dab6f6962cfc691a983826c7b10e32f75af2	4	4	373600980.2753798
S01	CAMPI_175793a5b7f2cadc6908ccb17c1eccd7bbf658cadb07fbafcb21d2226ec1f033	CAMPI_175793a5b7f2cadc6908ccb17c1eccd7bbf658cadb07fbafcb21d2226ec1f033	1	1	28172418.521870885
S01	CAMPI_185762f51664018f3c73fbe9b42a70538b15b84e26508ce10151a874b19ca81d	CAMPI_185762f51664018f3c73fbe9b42a70538b15b84e26508ce10151a874b19ca81d	1	1	9485436.304972451
S01	CAMPI_19ea7666d6a055e20059b2b7bb487b96909be357e0e5ebe0e0965119bfdfba4c	CAMPI_19ea7666d6a055e20059b2b7bb487b96909be357e0e5ebe0e0965119bfdfba4c	1	1	137394040.37509418
S01	CAMPI_1a65f1800e174e886c520777c594a935c8141498b8d6dacf0564e580feb4b8e8	CAMPI_1a65f1800e174e886c520777c594a935c8141498b8d6dacf0564e580feb4b8e8	2	2	59159584.98223085
S01	CAMPI_1b0ebf720f1b29ea2b0982455ae029faca7714333fb56bb3cba9b9f9aa39840d	CAMPI_1b0ebf720f1b29ea2b0982455ae029faca7714333fb56bb3cba9b9f9aa39840d	1	1	11047186.006287577
S01	CAMPI_1b8f7d79845397c552074c8d936d105bf13f4cd74a0073cd003783df5962341a	CAMPI_1b8f7d79845397c552074c8d936d105bf13f4cd74a0073cd003783df5962341a	3	3	987879104.8230689
S01	CAMPI_1c3ac5e249ed68e42285d7f616ff97d175a0e3cd112a22318c1890edffb5196f	CAMPI_1c3ac5e249ed68e42285d7f616ff97d175a0e3cd112a22318c1890edffb5196f	1	2	153296723.27391484
