native_id	scan	ms_level	rt_min	precursor_ref	precursor_mz	signal_sha256	inside_requested_window
controllerType=0 controllerNumber=1 scan=14234	14234	1	44.990288			a1bc90ee2a5aeeb882c3e19591f0643c3aec74471cc0538c1df2ec78213d9527	False
controllerType=0 controllerNumber=1 scan=14246	14246	2	45.000094	controllerType=0 controllerNumber=1 scan=14234	585.2955	fd1893d3f53cf374b46a4e6339084ed857192b0613a1cc9e928e0fdb93744533	True
controllerType=0 controllerNumber=1 scan=14247	14247	2	45.000829	controllerType=0 controllerNumber=1 scan=14234	415.5231	0cf0508f75898240fae3191271c05c9a983299e1fed20338cab6d1852198cc99	True
controllerType=0 controllerNumber=1 scan=14248	14248	2	45.001565	controllerType=0 controllerNumber=1 scan=14234	631.76025390625	77e8653377b5658fef719b6b32294cc44ba6b3d14e5a49a2d3f567dcf708f809	True
controllerType=0 controllerNumber=1 scan=14249	14249	2	45.002306	controllerType=0 controllerNumber=1 scan=14234	780.8422	d8a6e0f1008cd011886583bc9edc6f6e17ef3b2f2377c642255d8ea118793227	True
controllerType=0 controllerNumber=1 scan=14250	14250	1	45.003477			a80281363541abb9ed8ed10edfd38793728cc4c4524299f9703038e4a451a02c	True
controllerType=0 controllerNumber=1 scan=14251	14251	2	45.006763	controllerType=0 controllerNumber=1 scan=14250	718.857666015625	d0a80e61f6f18582f9e070cf8d1621ebcb67083b43ad4181e6ae022b677d602d	True
controllerType=0 controllerNumber=1 scan=14252	14252	2	45.007498	controllerType=0 controllerNumber=1 scan=14250	590.778442382813	70e53fa3c47c59042a0cad4e2b63f2e30bd2c726a51511bf704d9ade21988db4	True
controllerType=0 controllerNumber=1 scan=14253	14253	2	45.008227	controllerType=0 controllerNumber=1 scan=14250	440.747589111328	c6da6264d4e855aeaa1ac55d210fa7e36e4aee8d5ec50bb1723b6e6f08375290	True
controllerType=0 controllerNumber=1 scan=14254	14254	2	45.008963	controllerType=0 controllerNumber=1 scan=14250	590.8152	ffad6d5444d707b9de6e306147f8e13978ac5a48922abd52ce2ffcd82f1155de	True
controllerType=0 controllerNumber=1 scan=14255	14255	2	45.009461	controllerType=0 controllerNumber=1 scan=14250	473.283630371094	c7529a538174112fd0e2db453eff02a37924e5bb38edf7ffc5c381b9250576e1	True
controllerType=0 controllerNumber=1 scan=14256	14256	2	45.010196	controllerType=0 controllerNumber=1 scan=14250	428.564147949219	7069ea44b62c0f53ec534da2d8bb7e228be298159647316c542c4f2e38f97a82	True
controllerType=0 controllerNumber=1 scan=14257	14257	2	45.010938	controllerType=0 controllerNumber=1 scan=14250	785.3788	0af94d184a6f8d5da14d2fc51f31bfac5c8b330ada6108dc162834613f835559	True
